name,brand,category,price,ingredients
Vitamin B Enzyme Cleansing Oil + Makeup Remover,One Love Organics,all-cleansers,42.00," helianthus annuus (sunflower) seed oil*, caprylic/capric triglyceride, di-ppg-2 myreth-10 adipate, polyglycerol-3 beeswax, carica papaya (papaya) seed oil, cucurbita pepo (pumpkin) seed oil*, tocopherol, ascorbyl palmitate, papain*, lecithin*, fragrance/parfum
*Ingredients from Organic Farming"
Exfoliating Instant Facial,Goop,all-cleansers,125.00," aloe barbadensis (aloe) leaf juice*, vitis vinifera (grape) juice*, citrus medica limonum (lemon) juice*, pyrus malus (apple) juice*, glycerin, caprylic/capric triglyceride, lactic acid, microcrystalline cellulose, cetyl esters, stearyl alcohol, glyceryl stearate, helianthus annuus (sunflower) seed oil*, hydroxypropyl starch phosphate, glycolic acid, capryloyl glycerin/sebacic acid copolymer, diheptyl succinate, coco-glucoside, essential oil blend: monarda didyma (bergamot) oil, lavandula angustifolia (lavender) oil, and citrus medica limonum (lemon) oil, iris pallida (sweet iris) leaf cell extract, narcissus poeticus (poet’s daffodil) flower extract, sodium hydroxide, vaccinium myrtillus (bilberry) fruit extract, malic acid, xanthan gum, gluconolactone, tartaric acid, saccharum officinarum (sugar cane) extract, titanium dioxide, hydroxypropylcellulose, sodium benzoate, hydrolyzed hyaluronic acid, salicylic acid, citrus aurantium dulcis (orange) fruit extract, citrus limon (lemon) fruit extract, tetrasodium glutamate diacetate, acer saccharum (sugar maple) extract, panthenyl triacetate. 
*certified organic ingredient. this product is formulated with 86% organic content. Read More Read Less"
Hydrating Accelerator,Josh Rosebrook,all-cleansers,35.00," *aloe vera leaf juice, *jojoba oil, †marula seed oil, *evening primrose oil, *hemp seed oil, *borage seed oil, *almond oil, *grape seed oil, *sesame seed oil, *sea buckthorn oil, *goji berry, *ashwaganda, *calendula, *black cohosh, *dandelion, *fo ti root, *alfalfa, *bilberry, *rosemary, *turmeric, *elderberry, *raspberry leaf, *burdock, *chamo- mile, *rose hips, *eyebright, *beetroot, *st. john’s wort, *hawthorne ber- ry, *chickweed, *licorice, *coriander, *horse chestnut, *lavender, *red clover, *olive leaf, *sage, *thyme, *vitamin e, *gum arabic, *vanilla extract, †ylang ylang essential oil, †rosemary essential oil, †eucalyptus essential oil, †bergamot essential oil, †carrot seed essential oil. 
*certified organic, †organic, ‡wildcrafted, §non-gmo plant sourced Read More Read Less"
Co Q10 Toner,Indie Lee,all-cleansers,34.00," purified water (aqua), aloe barbadensis, coenzyme q10, hyaluronic acid, anthemis nobilis (chamomile), salvia officinalis (sage), carica papaya leaf extract, cucums sativus (cucumber) extract, citrus aurantium flower oil, 1.3 propanediol, ethylhexylglycerin, potassium sorbate"
Brightening Cleanser,Indie Lee,all-cleansers,34.00," purified water, decyl glucoside (veg. oils & sugar), disodium coco-glucoside citrate, coco glucoside oleaste (coconut and sunflower oil), hydrolyzed wheat protein*, xanthan gum, fragaria chiloensis seed oil (a blend of natural essential oils), lycopene (tomato),1.3 propanediol, ethylhexylglycerin, potassium sorbate"
Pure E.O. Free Oil Cleanser,Marie Veronique,all-cleansers,40.00," Carthamus Tinctorius (Safflower) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Decyl Glucoside, Sucrose Cocoate, Mixed Tocopherols, Sambucus Nigra (Elderberry) Extract, Xanthan Gum, Superoxide Dismutase (SOD), Probiotics, Galactooligosaccharides, Beta-Glucan, Rosmarinus Officinalis (Rosemary) Oleoresin"
Essential Face Wipes,Ursa Major,all-cleansers,24.00," Aloe barbadensis (aloe vera) leaf juice*, water/aqua/eau, leuconostoc/radish root ferment filtrate, rosmarinus officinalis (rosemary) leaf/flower water, salix nigra (willow) bark extract, hamamelis virginiana (witch hazel) pulp water*, glycerin*, sodium hyaluronate, levulinic acid, sodium levulinate, vaccinium myrtillus (bilberry) fruit/leaf extract, saccharum officinarum (sugar cane) extract, acer saccharum (sugar maple) extract, citrus aurantium dulcis (orange) fruit extract, citrus limon (lemon) fruit extract, oryza sativa (rice) seed extract*, camellia sinensis (green tea) leaf extract*, betula alba (birch) sap, lactobacillus/arundinaria gigantea (bamboo) ferment filtrate, caprylyl/capryl wheat bran/straw glycosides, fusel wheat bran/straw glycosides, polyglyceryl-5 oleate, sodium cocoyl glutamate, glyceryl caprylate, olea europaea (olive) leaf extract, pseudotsuga menziesii (fir) needle oil*, lavandula angustifolia (lavender) flower oil*, rosmarinus officinalis (rosemary) leaf oil, pelargonium graveolens (geranium) leaf/flower oil*, boswellia carterii (frankincense) resin extract, leuconostoc ferment filtrate, propanediol, soybean peroxidase, superoxide dismutase, citric acid, potassium sorbate, alcohol, linalool, citronellol, geraniol, limonene Read More Read Less"
Easy Does It Foaming Cleanser,One Love Organics,all-cleansers,25.00,"
        aqua (water), glycerin, sodium coco-glucoside tartrate, sodium hydroxypropylsulfonate laurylglucoside crosspolymer, sodium cocoyl hydrolyzed amaranth protein, sodium cocoamphoacetate, cocamidopropyl hydroxysultaine, lauryl glucoside, pyrus malus (apple) fruit extract, pyrus malus (apple) oil, quillaja saponaria bark extract, sodium methyl cocoyl taurate, sodium hydroxypropylsulfonate decylglucoside crosspolymer, sodium cocoyl glutamate, sodium lauryl glucose carboxylate, lonicera caprifolium (honeysuckle) flower extract, lonicera japonica (honeysuckle) flower extract"
Balancing Hypo Tonic,Marie Veronique,all-cleansers,45.00," Camellia Sinensis (Green Tea) Leaf Infusion, Beta-Glucan, Panthenol (Provitamin B5), Leuconostoc/Radish Root Ferment Filtrate, Sambucus Nigra (Elderberry) Extract, Glycyrrhiza Glabra (Licorice Root) Extract, Acetic Acid (Apple Cider Vinegar), Sodium Hyaluronate, Cucumis Sativus (Cucumber) Fruit Extract, Pre/Probiotic Complex, Curcuma Longa/Xanthorrhiza (Turmeric) Root Extract, Selenomethionine"
Fantastic Face Wash,Ursa Major,all-cleansers,28.00," Aloe barbadensis (aloe vera) leaf juice*, aqua/water/eau, lauryl glucoside, coco-glucoside, sodium cocoyl glutamate, caprylyl/capryl glucoside, inulin, glyceryl laurate, sodium lauroamphoacetate, gluconolactone, sodium lauroyl glutamate, xylitylglucoside, anhydroxylitol, xylitol, oryza sativa (rice) extract*, camellia sinensis leaf extract*, saccharum officinarum (sugarcane) extract, citrus limon (lemon) fruit oil, citrus aurantium dulcis (orange) fruit extract, vaccinium myrtillus fruit extract, acer saccharum (sugar maple) extract, picea mariana leaf oil*, pseudotsuga menziesii branch/leaf oil*, rosmarinus officinalis leaf water, lavandula angustifolia (lavender) flower water*, citrus paradisi peel oil, citrus aurantifolia peel oil, artemisia ludoviciana (owyhee) leaf oil, juniperus virginiana wood oil, tanacetum annuum flower oil, nardostachys jatamansi oil, vetiveria zizanoides root oil, mentha spicata leaf extract, sodium phytate, PCA glyceryl oleate, citric acid, calcium gluconate, leuconostoc ferment filtrate, sodium benzoate, soybean peroxidase, superoxide dismutase, limonene Read More Read Less"
