name,brand,category,price,ingredients,store,url,type
Brightening Cleanser,Indie Lee,cleansers,34.0,"Water, Decyl Glucoside, Disodium Coco Glucoside Citrate, Coco Glucoside, Glyceryl Oleate, Hydrolyzed Wheat Protein, Xanthan Gum, Fragaria Chiloensis Seed Oil, Lycopene, Propanediol, Ethylhexylglycerin, Potassium Sorbate",Follain,https://follain.com//collections/skincare-cleansers/products/brightening-cleanser,clean
Ocean Cleanser,OSEA,cleansers,48.0,"Water, Algae Extract, Decyl Glucoside, Sodium Lauroyl Oat Amino Acids, Sorbitan Olivate, Sesamum Indicum Seed Oil, Simmondsia Chinensis Seed Oil, Magnesium Aluminum Silicate, Tocopherol, Citrus Aurantifolia Oil, Citrus Aurantium Dulcis Oil, Juniperus Communis Fruit Oil, Cupressus Sempervirens Essential Oil, Jasminum Officinale Oil, Lactic Acid, Xanthan Gum, Glycine, Potassium Sorbate, Chlorophyll",Follain,https://follain.com//collections/skincare-cleansers/products/osea-ocean-cleanser,clean
Regenerating Cleanser,Tata Harper,cleansers,84.0,"Aloe Vera Leaf Juice, Cetearyl Alcohol, Cetearyl Olivate, Helianthus Annuus Seed Oil, Apricot Seed Powder, Sorbitan Olivate, Rice Seed Extract, Pomegranate Extract, Leuconostoc Ferment Filtrate, Water, Coco Glucoside, Cetearyl Glucoside, Rose Clay, Sclerotium Gum, Cetyl Palmitate, White Willow Bark Extract, Sorbitan Palmitate, Sodium Phytate, Denatured Alcohol, Benzyl Alcohol, Aroma, Benzyl Benzoate, Citral, Citronellol, Eugenol, Geraniol, Limonene, Linalool",Follain,https://follain.com//collections/skincare-cleansers/products/tata-harper-regenerating-cleanser,clean
Vitamin B Cleansing Oil & Makeup Remover,One Love Organics,cleansers,42.0,"Helianthus Annus Seed Oil, Caprylic, Di-PPG-2 Myreth-10 Adipate, Polyglycerol-3 Beeswax, Carica Papaya Seed Oil, Cucurbita Prepo Seed Oil, Tocopherol, Ascorbyl Palmitate, Papain, Lecithin, Fragrance",Follain,https://follain.com//collections/skincare-cleansers/products/one-love-organics-vitamin-b-cleansing-oil-makeup-remover,clean
Fantastic Face Wash,Ursa Major,cleansers,28.0,"Aloe Barbadensis Leaf Juice, Lauryl Glucoside, Cocoglucoside, Sodium Cocoyl Glutamate, Sodium Lauroamphoacetate, Water, Inulin, Glyceryl Laurate, Sodium Lauroyl Glutamate, Xylitylglucoside, Anhydroxylitol, Xylitol, Oryza Sativa Seed Extract, Camellia Sinensis Leaf Extract, Vaccinium Myrtillus Fruit, Saccharum Officinarum Extract, Acer Saccharum Extract, Citrus Aurantium Dulcis Fruit Extract, Citrus Medica Limonum Extract, Picea Mariana Needle Oil, Pseudotsuga Menziesii Needle Oil, Rosmarinus Officinalis Leaf, Lavandula Angustifolia Flower Water, Citrus Paradisi Peel Oil, Citrus Aurantifolia Peel Oil, Artemisia Ludoviciana Leaf Oil, Juniperus Virginiana Wood Oil, Tanacetum Annuum Flower Oil, Nardostachys Chinensis Root Oil, Vetiveria Zizanioides Root Oil, Mentha Spicata Leaf Oil, Sodium Phytate, Alcohol, Pca Glyceryl Oleate, Citric Acid, Gluconolactone, Sodium Benzoate",Follain,https://follain.com//collections/skincare-cleansers/products/ursa-major-fantastic-face-wash,clean
Essential Face Wipes – Bag of 20,Ursa Major,cleansers,24.0,"Aloe Barbadensis Leaf Juice, Water, Leuconostoc, Rosmarinus Officinalis Leaf, Salix Nigra Bark Extract, Hamamelis Virginiana Pulp Water, Glycerin, Sodium Hyaluronate, Levulinic Acid, Sodium Levulinate, Vaccinium Myrtillus Fruit, Saccharum Officinarum Extract, Acer Saccharum Extract, Citrus Aurantium Dulcis Fruit Extract, Citrus Limon Fruit Extract, Oryza Sativa Seed Extract, Camellia Sinensis Leaf Extract, Betula Alba Sap, Lactobacillus, Caprylyl, Fusel Wheat Bran, Polyglyceryl-5 Oleate, Sodium Cocoyl Glutamate, Glyceryl Caprylate, Olea Europaea Leaf Extract, Pseudotsuga Menziesii Needle Oil, Lavandula Angustifolia Flower Oil, Rosmarinus Officinalis Leaf Oil, Pelargonium Graveolens Leaf, Boswellia Carterii Resin Extract, Leuconostoc Ferment Filtrate, Propanediol, Soybean Peroxidase, Superoxide Dismutase, Citric Acid, Potassium Sorbate, Alcohol, Linalool, Citronellol, Geraniol, Limonene",Follain,https://follain.com//collections/skincare-cleansers/products/ursa-major-essential-face-wipes-bag-of-20,clean
Manuka Honey Cleansing Balm,Naturopathica,cleansers,62.0,"Prunus Amygdalus Dulcis Oil, Glycerin, Caprylic, Butyrospermum Parkii Butter, Jojoba Esters, Glyceryl Behenate, Sunflower Seed Wax, Theobroma Cacao Butter, Water, Sucrose Laurate, Lactobacillus Ferment, Parfum, Mangifera Indica Butter, Argania Spinosa Kernel Oil, Mel, Pentapeptide-48, Cocos Nucifera Fruit Extract, Calendula Flower Extract, Acacia Decurrens Flower Wax, Hippophae Rhamnoides Fruit Oil, Glycine Soja Oil, Tocopherol, Populus Tremuloides Bark Extract, Lactobacillus Ferment Lysate Filtrate, Lactobacillus, Hydrogenated Lecithin, Polyglycerin-3, Leuconostoc, Phenethyl Alcohol, Ethylhexylglycerin, Maltodextrin, Benzyl Alcohol",Follain,https://follain.com//collections/skincare-cleansers/products/manuka-honey-cleansing-balm,clean
Purifying Face Wash,Indie Lee,cleansers,34.0,"Water, Capryloyl, Lauroyl, Coco Glucoside, Sucrose Cocoate, Glycerin, Spondias Mombin Pulp Extract, Caprylic, Citrus Aurantium Dulcis Peel Extract, Rose Damascena Flower Extract, Vanilla Plantifolia Fruit Extract, Vitis Vinifera Fruit Extract, Citrus Limon Peel Extract, Eugenia Caryophyllus Flower Extract, Lavendula Angustifloia Flower, Jasminum Officinale Flower Extract, Citrus Reticulata Fruit Extract, Arctium Lappa Root Extract, Xanthan Gum, Citric Acid, Sodium Benzoate, Potassium Sorbate, Propanediol, Pentylene Glycol, Phenethyl Alcohol",Follain,https://follain.com//collections/skincare-cleansers/products/indie-lee-purifying-face-wash,clean
Cleansing Milk,Tammy Fender,cleansers,55.0,"Lavandula Angustifolia Flower Water, Anthemis Nobilis Flower Water, Rosa Centifolia Flower Water, Behenyl Olivate, Stearyl Olivate, Glyceryl Stearate, Octyl Dodecanol, Beeswax, Decyl Glucoside, Sodium Myristoyl Sarcosinate, Cetearyl Alcohol, Sodium Lauroyl Lactylate, Sclerotium Gum, Sodium Chloride, Lecithin, Lavandula Angustifolia Oil, Citrus Paradisi Oil, Citrus Aurantium Dulcis Oil, Helianthus Annuus Seed Oil, Calendula Officinalis Flower Extract, Commiphora Myrrah Extract, Daucus Carota Sativa Seed Extract, Chamomilla Recutita Flower Extract, Sambucus Niger Flower Extract, Lilium Candidum Flower Extract, Polygonum Multiflorum Root Extract, Glycolopids, Leuconostoc, Cocos Nucifera Fruit Extract, Lactobacillus, Cocamidopropyl Hydroxysultaine, Sodium Cococyl Amino Acids",Follain,https://follain.com//collections/skincare-cleansers/products/tammy-fender-cleansing-milk,clean
Rosehip Cleanser,Indie Lee,cleansers,34.0,"Water, Glycerin, Potassium Cocoate, Fragrance, Chondrus Crispus Extract, Rosa Rubiginosa Seed Oil, Phenethyl Alcohol, Pentylene Glycol, Propanediol, Xanthan Gum, Hexyl Cinnamal",Follain,https://follain.com//collections/skincare-cleansers/products/indie-lee-rosehip-cleanser,clean
